"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 01월 22일","9,383.77","9,413.61","9,439.29","9,375.13","580.34M","0.14%"
"2020년 01월 21일","9,370.81","9,361.07","9,397.58","9,350.20","691.60M","-0.19%"
"2020년 01월 17일","9,388.94","9,392.37","9,393.48","9,346.81","659.47M","0.34%"
"2020년 01월 16일","9,357.13","9,313.44","9,357.92","9,301.32","567.15M","1.06%"
"2020년 01월 15일","9,258.69","9,253.76","9,298.82","9,231.14","584.77M","0.08%"
"2020년 01월 14일","9,251.33","9,270.61","9,298.33","9,226.49","624.22M","-0.24%"
"2020년 01월 13일","9,273.93","9,213.72","9,274.49","9,193.06","605.16M","1.04%"
"2020년 01월 10일","9,178.86","9,232.94","9,235.20","9,164.66","585.08M","-0.27%"
"2020년 01월 09일","9,203.43","9,202.27","9,215.95","9,158.50","601.33M","0.81%"
"2020년 01월 08일","9,129.24","9,068.03","9,168.89","9,059.38","595.81M","0.67%"
"2020년 01월 07일","9,068.58","9,076.65","9,091.93","9,042.55","552.23M","-0.03%"
"2020년 01월 06일","9,071.47","8,943.50","9,072.41","8,943.50","690.23M","0.56%"
"2020년 01월 03일","9,020.77","8,976.43","9,065.76","8,976.43","618.56M","-0.79%"
"2020년 01월 02일","9,092.19","9,039.46","9,093.43","9,010.89","654.95M","1.33%"
